frequency	magnitude	phase
10	1	-2.02422e-15
12.5893	1	-7.0296e-15
15.8489	1	-6.44472e-15
19.9526	1	-6.00597e-15
25.1189	1	-1.63226e-14
31.6228	1	-5.20197e-15
39.8107	1	-2.23682e-15
50.1187	1	4.04149e-15
63.0957	1	-6.73135e-15
79.4328	1	8.79737e-15
100	1	2.68924e-15
100	1	2.68924e-15
125.893	1	1.17916e-14
158.489	1	-3.77024e-15
199.526	1	-2.56901e-15
251.189	1	1.11203e-14
316.228	1	-6.87014e-15
398.107	1	6.04666e-15
501.187	1	-2.65587e-15
630.957	1	5.73699e-16
794.328	1	1.00935e-14
1000	1	2.24223e-15
