frequency	magnitude	phase
10	0.977025	-3.5195
12.5893	0.975952	-4.42754
15.8489	0.974257	-5.56749
19.9526	0.971587	-6.99622
25.1189	0.967399	-8.78233
31.6228	0.960871	-11.0063
39.8107	0.95079	-13.7584
50.1187	0.935442	-17.1321
63.0957	0.91257	-21.2096
79.4328	0.879525	-26.0377
100	0.833794	-31.5934
100	0.833794	-31.5934
125.893	0.773982	-37.7505
158.489	0.700952	-44.2683
199.526	0.618358	-50.8241
251.189	0.531904	-57.0857
316.228	0.447596	-62.7898
398.107	0.370103	-67.7845
501.187	0.302059	-72.0263
630.957	0.244264	-75.5498
794.328	0.196294	-78.4318
1000	0.157092	-80.7648
1000	0.157092	-80.7648
1258.93	0.12538	-82.6406
1584.89	0.0998957	-84.1421
1995.26	0.0795029	-85.3407
2511.89	0.0632284	-86.2956
3162.28	0.0502628	-87.0556
3981.07	0.0399446	-87.6599
5011.87	0.0317389	-88.1401
6309.57	0.025216	-88.5216
7943.28	0.0200322	-88.8245
10000	0.0159134	-89.0649
10000	0.0159134	-89.0649
12589.3	0.0126411	-89.2555
15848.9	0.0100415	-89.4065
19952.6	0.00797638	-89.5259
25118.9	0.00633594	-89.6201
31622.8	0.00503285	-89.694
39810.7	0.00399776	-89.7517
50118.7	0.00317554	-89.7961
63095.7	0.00252243	-89.8296
79432.8	0.00200364	-89.8541
100000	0.00159155	-89.8708
