frequency	magnitude	phase
10	0.128776	73.1038
12.5893	0.158257	69.0732
15.8489	0.192192	64.2933
19.9526	0.229649	58.7816
25.1189	0.268766	52.6569
31.6228	0.306936	46.153
39.8107	0.341451	39.5893
50.1187	0.370329	33.2999
63.0957	0.392821	27.5544
79.4328	0.409316	22.5121
100	0.420858	18.2225
125.893	0.428664	14.6551
158.489	0.433818	11.7347
199.526	0.437168	9.36937
251.189	0.439321	7.46685
316.228	0.440697	5.94353
398.107	0.441571	4.72736
501.187	0.442126	3.75822
630.957	0.442477	2.98684
794.328	0.442699	2.37333
1000	0.442839	1.8856
1258.93	0.442927	1.49798
1584.89	0.442983	1.18999
1995.26	0.443018	0.945293
2511.89	0.443041	0.750898
3162.28	0.443055	0.596472
3981.07	0.443064	0.473801
5011.87	0.443069	0.376357
6309.57	0.443073	0.298952
7943.28	0.443075	0.237467
10000	0.443076	0.188627
12589.3	0.443077	0.149832
15848.9	0.443078	0.119016
19952.6	0.443078	0.0945378
25118.9	0.443078	0.0750941
31622.8	0.443078	0.0596493
39810.7	0.443079	0.0473812
50118.7	0.443079	0.0376362
63095.7	0.443079	0.0298955
79432.8	0.443079	0.0237468
100000	0.443079	0.0188628
125893	0.443079	0.0149832
158489	0.443079	0.0119016
199526	0.443079	0.00945379
251189	0.443079	0.00750941
316228	0.443079	0.00596494
398107	0.443079	0.00473812
501187	0.443079	0.00376362
630957	0.443079	0.00298955
794328	0.443079	0.00237468
